ID,adj.P.val,P.Value,t,B,logFC,Gene.Symbol,Gene.Function,,,
TC19001472.hg.1,1,0.919367,-1.02E-01,-5.6119,ZNF790,zinc finger protein 790,,,,
TC0X000530.hg.1,1,0.919449,-1.01E-01,-5.6119,ATG4A,ATG4 autophagy related 4 homolog A (S. cerevisiae),,,,
TC01002686.hg.1,1,0.919477,1.01E-01,-5.6119,SSBP3,single stranded DNA binding protein 3,,,,
TC07001147.hg.1,1,0.919479,-1.01E-01,-5.6119,VWDE,von Willebrand factor D and EGF domains,,,,
TC0X000279.hg.1,1,0.919504,1.01E-01,-5.6119,MIR532,microRNA 532,,,,
TC08001509.hg.1,1,0.919617,1.01E-01,-5.6119,DPYS,dihydropyrimidinase,,,,
TC01000648.hg.1,1,0.919633,-1.01E-01,-5.6119,SCP2,sterol carrier protein 2,,,,
TC11000636.hg.1,1,0.919634,1.01E-01,-5.6119,MIR4690,microRNA 4690,,,,
TC19001253.hg.1,1,0.919638,-1.01E-01,-5.6119,AKAP8,A kinase (PRKA) anchor protein 8,,,,
TC02001281.hg.1,1,0.919651,1.01E-01,-5.6119,IGFBP2,insulin-like growth factor binding protein 2, 36kDa,,,
TC09000925.hg.1,1,0.919657,1.01E-01,-5.6119,PSIP1,PC4 and SFRS1 interacting protein 1,,,,
TC10001320.hg.1,1,0.91966,-1.01E-01,-5.6119,RHOBTB1,Rho-related BTB domain containing 1,,,,
TC16000300.hg.1,1,0.91969,-1.01E-01,-5.6119,SBK1,SH3-binding domain kinase 1,,,,
TC03001800.hg.1,1,0.919702,1.01E-01,-5.6119,SLCO2A1,solute carrier organic anion transporter family, member 2A1,,,
TC03003372.hg.1,1,0.91979,-1.01E-01,-5.6119,SRGAP3,SLIT-ROBO Rho GTPase activating protein 3,,,,
TC21000198.hg.1,1,0.919819,1.01E-01,-5.6119,ABCG1,ATP-binding cassette, sub-family G (WHITE), member 1,,
TC08000902.hg.1,1,0.919847,-1.01E-01,-5.6119,ANGPT2,angiopoietin 2,,,,
TC16000379.hg.1,1,0.919878,1.01E-01,-5.6119,SLC5A2,solute carrier family 5 (sodium/glucose cotransporter), member 2,,,
TC02000711.hg.1,1,0.919905,1.01E-01,-5.6119,SLC20A1,solute carrier family 20 (phosphate transporter), member 1,,,
TC14000582.hg.1,1,0.919994,-1.01E-01,-5.6119,OTUB2,OTU domain, ubiquitin aldehyde binding 2,,,
TC04001200.hg.1,1,0.920016,1.01E-01,-5.6119,RPL21P44,ribosomal protein L21 pseudogene 44,,,,
TC05001294.hg.1,1,0.920078,1.01E-01,-5.612,RICTOR,RPTOR independent companion of MTOR, complex 2,,,
TC05000691.hg.1,1,0.920085,1.01E-01,-5.612,NPY6R,neuropeptide Y receptor Y6 (pseudogene),,,,
TC02001993.hg.1,1,0.920087,-1.01E-01,-5.612,MOB1A,MOB kinase activator 1A,,,,
TC03000062.hg.1,1,0.920126,-1.01E-01,-5.612,SLC6A11,solute carrier family 6 (neurotransmitter transporter, GABA), member 11,,
TC05000355.hg.1,1,0.920152,-1.01E-01,-5.612,RGNEF,190 kDa guanine nucleotide exchange factor,,,,
TC01004090.hg.1,1,0.920167,1.01E-01,-5.612,OR2T35,olfactory receptor, family 2, subfamily T, member 35,
TC03001106.hg.1,1,0.92018,-1.01E-01,-5.612,LOC100507086,uncharacterized LOC100507086,,,,
TC10000131.hg.1,1,0.920211,1.01E-01,-5.612,TMEM236,transmembrane protein 236,,,,
TC0X000870.hg.1,1,0.920278,1.00E-01,-5.612,GEMIN8,gem (nuclear organelle) associated protein 8,,,,
TC11000397.hg.1,1,0.920422,-1.00E-01,-5.612,MDK,midkine (neurite growth-promoting factor 2),,,,
TC03003368.hg.1,1,0.920482,1.00E-01,-5.612,PIGX,phosphatidylinositol glycan anchor biosynthesis, class X,,,
TC19000929.hg.1,1,0.920507,1.00E-01,-5.612,LOC147670,uncharacterized LOC147670,,,,
TC14000782.hg.1,1,0.920521,-1.00E-01,-5.612,MIR4309,microRNA 4309,,,,
TC02001575.hg.1,1,0.920568,-1.00E-01,-5.612,FLJ33534,uncharacterized LOC285150,,,,
TC12000040.hg.1,1,0.920587,-1.00E-01,-5.612,PRMT8,protein arginine methyltransferase 8,,,,
TC09000702.hg.1,1,0.920592,-1.00E-01,-5.612,TBC1D13,TBC1 domain family, member 13,,,
TC16000744.hg.1,1,0.920601,-1.00E-01,-5.612,C1QTNF8,C1q and tumor necrosis factor related protein 8,,,,
TC01003370.hg.1,1,0.920609,-1.00E-01,-5.612,LOC100505799,uncharacterized LOC100505799,,,,
TC09001481.hg.1,1,0.920659,1.00E-01,-5.612,OR2K2,olfactory receptor, family 2, subfamily K, member 2,
TC19000086.hg.1,1,0.920672,-1.00E-01,-5.612,FSD1,fibronectin type III and SPRY domain containing 1,,,,
TC17000246.hg.1,1,0.920765,-9.98E-02,-5.612,ALDH3A2,aldehyde dehydrogenase 3 family, member A2,,,
TC08001629.hg.1,1,0.920822,9.98E-02,-5.612,LOC727677,uncharacterized LOC727677,,,,
TC22000825.hg.1,1,0.920887,-9.97E-02,-5.612,TOB2,transducer of ERBB2,2,,,
TC03000369.hg.1,1,0.920916,9.96E-02,-5.6121,PDE12,phosphodiesterase 12,,,,
TC01000606.hg.1,1,0.92092,-9.96E-02,-5.6121,SLC5A9,solute carrier family 5 (sodium/glucose cotransporter), member 9,,,
TC0X000433.hg.1,1,0.920934,-9.96E-02,-5.6121,SH3BGRL,SH3 domain binding glutamic acid-rich protein like,,,,
TC19001399.hg.1,1,0.920966,-9.96E-02,-5.6121,LOC643719,uncharacterized LOC643719,,,,
TC12001328.hg.1,1,0.921003,-9.95E-02,-5.6121,ITPR2,inositol 1,4,5-trisphosphate receptor, type 2,
TC16000692.hg.1,1,0.921038,-9.95E-02,-5.6121,CDH15,cadherin 15, type 1, M-cadherin (myotubule),,
TC11001867.hg.1,1,0.921045,-9.95E-02,-5.6121,AHNAK,AHNAK nucleoprotein,,,,
TC08000770.hg.1,1,0.921065,9.95E-02,-5.6121,WISP1,WNT1 inducible signaling pathway protein 1,,,,
TC20000504.hg.1,1,0.921072,-9.94E-02,-5.6121,LOC63930,uncharacterized LOC63930,,,,
TC05001585.hg.1,1,0.921104,-9.94E-02,-5.6121,MBLAC2,metallo-beta-lactamase domain containing 2,,,,
TC02004955.hg.1,1,0.921115,-9.94E-02,-5.6121,PPP1CB,protein phosphatase 1, catalytic subunit, beta isozyme,,
TC11000442.hg.1,1,0.921121,-9.94E-02,-5.6121,SPRYD5,SPRY domain containing 5,,,,
TC12000398.hg.1,1,0.921133,9.94E-02,-5.6121,TMPRSS12,transmembrane (C-terminal) protease, serine 12,,,
TC01002644.hg.1,1,0.921147,9.94E-02,-5.6121,FAF1,Fas (TNFRSF6) associated factor 1,,,,
TC03003346.hg.1,1,0.921149,9.94E-02,-5.6121,KRBOX1,KRAB box domain containing 1,,,,
TC01000674.hg.1,1,0.921157,-9.93E-02,-5.6121,BSND,Bartter syndrome, infantile, with sensorineural deafness (Barttin),,
TC09001693.hg.1,1,0.921157,-9.93E-02,-5.6121,FAM163B,family with sequence similarity 163, member B,,,
TC06001940.hg.1,1,0.921199,9.93E-02,-5.6121,UBE2J1,ubiquitin-conjugating enzyme E2, J1, U,,
TC12001696.hg.1,1,0.921251,9.92E-02,-5.6121,IFNG,interferon, gamma,,,
TC07001606.hg.1,1,0.92132,9.91E-02,-5.6121,SAMD9L,sterile alpha motif domain containing 9-like,,,,
TC08000886.hg.1,1,0.921344,-9.91E-02,-5.6121,LOC100507435,uncharacterized LOC100507435,,,,
TC04000513.hg.1,1,0.921356,-9.91E-02,-5.6121,MIR3684,microRNA 3684,,,,
TC13000460.hg.1,1,0.9214,9.90E-02,-5.6121,N6AMT2,N-6 adenine-specific DNA methyltransferase 2 (putative),,,,
TC03003396.hg.1,1,0.921442,-9.90E-02,-5.6121,ANKUB1,ankyrin repeat and ubiquitin domain containing 1,,,,
TC01002769.hg.1,1,0.921483,-9.89E-02,-5.6121,LRRC40,leucine rich repeat containing 40,,,,
TC09000956.hg.1,1,0.921557,-9.88E-02,-5.6121,IFNA5,interferon, alpha 5,,,
TC03001978.hg.1,1,0.92158,-9.88E-02,-5.6121,GOLIM4,golgi integral membrane protein 4,,,,
TC12000516.hg.1,1,0.921632,9.87E-02,-5.6121,HSD17B6,hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse),,,,
TC10000882.hg.1,1,0.921716,9.86E-02,-5.6121,LOC100130887,uncharacterized LOC100130887,,,,
TC03001737.hg.1,1,0.92172,-9.86E-02,-5.6121,LOC100506907,uncharacterized LOC100506907,,,,
TC01000026.hg.1,1,0.92178,-9.86E-02,-5.6121,LOC254099,uncharacterized LOC254099,,,,
TC11000552.hg.1,1,0.921812,-9.85E-02,-5.6121,SCGB1A1,secretoglobin, family 1A, member 1 (uteroglobin),,
TC12001361.hg.1,1,0.921835,-9.85E-02,-5.6122,FAM60A,family with sequence similarity 60, member A,,,
TC17000743.hg.1,1,0.921843,-9.85E-02,-5.6122,TBX2,T-box 2,,,,
TC07001907.hg.1,1,0.921857,-9.85E-02,-5.6122,KIAA1549,KIAA1549,,,,
TC07001344.hg.1,1,0.921859,-9.85E-02,-5.6122,TMED4,transmembrane emp24 protein transport domain containing 4,,,,
TC06000536.hg.1,1,0.921881,-9.84E-02,-5.6122,C6orf89,chromosome 6 open reading frame 89,,,,
TC07003403.hg.1,1,0.921903,-9.84E-02,-5.6122,LOC401320,uncharacterized LOC401320,,,,
TC0Y000184.hg.1,1,0.921907,9.84E-02,-5.6122,BCORP1,BCL6 corepressor pseudogene 1,,,,
TC19001058.hg.1,1,0.922068,9.82E-02,-5.6122,MAP2K2,mitogen-activated protein kinase kinase 2,,,,
TC11002303.hg.1,1,0.922088,9.82E-02,-5.6122,MIR4301,microRNA 4301,,,,
TC0X001455.hg.1,1,0.922138,-9.81E-02,-5.6122,MIR891B,microRNA 891b,,,,
TC6_qbl_hap6000129.hg.1,1,0.922159,9.81E-02,-5.6122,PPP1R18,protein phosphatase 1, regulatory subunit 18,,,
TC02001229.hg.1,1,0.922159,-9.81E-02,-5.6122,CREB1,cAMP responsive element binding protein 1,,,,
TC02000216.hg.1,1,0.922217,9.80E-02,-5.6122,MIR4765,microRNA 4765,,,,
TC06001766.hg.1,1,0.922269,9.79E-02,-5.6122,MIR586,microRNA 586,,,,
TC6_qbl_hap6000131.hg.1,1,0.922327,-9.79E-02,-5.6122,MDC1,mediator of DNA-damage checkpoint 1,,,,
TC01002584.hg.1,1,0.922328,9.79E-02,-5.6122,MED8,mediator complex subunit 8,,,,
TC06001492.hg.1,1,0.922351,9.78E-02,-5.6122,ZNRD1-AS1,ZNRD1 antisense RNA 1 (non-protein coding),,,,
TC6_cox_hap2000192.hg.1,1,0.922356,-9.78E-02,-5.6122,BTNL2,butyrophilin-like 2 (MHC class II associated),,,,
TC11000823.hg.1,1,0.922416,-9.77E-02,-5.6122,TSKU,tsukushi small leucine rich proteoglycan homolog (Xenopus laevis),,,,
TC05000403.hg.1,1,0.922421,-9.77E-02,-5.6122,CKMT2,creatine kinase, mitochondrial 2 (sarcomeric),,,
TC01001829.hg.1,1,0.922431,-9.77E-02,-5.6122,MIA3,melanoma inhibitory activity family, member 3,,,
TC6_qbl_hap6000232.hg.1,1,0.922486,-9.77E-02,-5.6122,DDAH2,dimethylarginine dimethylaminohydrolase 2,,,,
TC07000166.hg.1,1,0.922513,9.76E-02,-5.6122,LOC285943,uncharacterized LOC285943,,,,
TC19000658.hg.1,1,0.922565,-9.76E-02,-5.6122,MIR769,microRNA 769,,,,
TC12000347.hg.1,1,0.922572,-9.76E-02,-5.6122,C12orf68,chromosome 12 open reading frame 68,,,,
TC06001729.hg.1,1,0.922611,-9.75E-02,-5.6122,C6orf132,chromosome 6 open reading frame 132,,,,
TC09001750.hg.1,1,0.922611,-9.75E-02,-5.6122,FUT7,fucosyltransferase 7 (alpha (1,3) fucosyltransferase),,,
TC06001479.hg.1,1,0.922619,-9.75E-02,-5.6122,ZNF311,zinc finger protein 311,,,,
TC11000688.hg.1,1,0.922648,-9.75E-02,-5.6122,TBC1D10C,TBC1 domain family, member 10C,,,
TC19001099.hg.1,1,0.922696,-9.74E-02,-5.6122,TUBB4A,tubulin, beta 4A class IVa,,,
TC07001183.hg.1,1,0.922748,9.73E-02,-5.6123,SP8,Sp8 transcription factor,,,,
TC17001020.hg.1,1,0.922777,-9.73E-02,-5.6123,UBE2G1,ubiquitin-conjugating enzyme E2G 1,,,,
TC01003766.hg.1,1,0.922781,9.73E-02,-5.6123,IL10,interleukin 10,,,,
TC11000510.hg.1,1,0.922815,9.72E-02,-5.6123,MS4A1,membrane-spanning 4-domains, subfamily A, member 1,,
TC17001538.hg.1,1,0.922884,-9.72E-02,-5.6123,PLEKHH3,pleckstrin homology domain containing, family H (with MyTH4 domain) member 3,,,
TC17000132.hg.1,1,0.922893,-9.71E-02,-5.6123,MIR4521,microRNA 4521,,,,
TC20001006.hg.1,1,0.922957,-9.71E-02,-5.6123,HRH3,histamine receptor H3,,,,
TC02000516.hg.1,1,0.922993,-9.70E-02,-5.6123,GNLY,granulysin,,,,
TC01001335.hg.1,1,0.923073,-9.69E-02,-5.6123,KIRREL,kin of IRRE like (Drosophila),,,,
TC06004135.hg.1,1,0.923078,-9.69E-02,-5.6123,C6orf186,chromosome 6 open reading frame 186,,,,
TC01001461.hg.1,1,0.923096,9.69E-02,-5.6123,MPZL1,myelin protein zero-like 1,,,,
TC03000009.hg.1,1,0.9231,9.69E-02,-5.6123,TRNT1,tRNA nucleotidyl transferase, CCA-adding,1,,
TC20000226.hg.1,1,0.923106,-9.69E-02,-5.6123,BPIFA4P,BPI fold containing family A, member 4, pseudogene,,
TC09001748.hg.1,1,0.923131,-9.68E-02,-5.6123,CLIC3,chloride intracellular channel 3,,,,
TC10000092.hg.1,1,0.923143,-9.68E-02,-5.6123,CDC123,cell division cycle 123 homolog (S. cerevisiae),,,,
TC07001777.hg.1,1,0.923182,-9.68E-02,-5.6123,LOC100506489,uncharacterized LOC100506489,,,,
TC13000758.hg.1,1,0.923187,9.68E-02,-5.6123,RBM26,RNA binding motif protein 26,,,,
TC13000447.hg.1,1,0.923198,9.68E-02,-5.6123,PHF2P1,PHD finger protein 2 pseudogene 1,,,,
TC17000349.hg.1,1,0.923237,-9.67E-02,-5.6123,CPD,carboxypeptidase D,,,,
TC22000787.hg.1,1,0.92324,-9.67E-02,-5.6123,TMEM184B,transmembrane protein 184B,,,,
TC01000813.hg.1,1,0.923367,-9.65E-02,-5.6123,SPATA1,spermatogenesis associated 1,,,,
TC02000280.hg.1,1,0.923388,-9.65E-02,-5.6123,PRKCE,protein kinase C, epsilon,,,
TC19001125.hg.1,1,0.923392,-9.65E-02,-5.6123,ELAVL1,ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R),,
TC11000598.hg.1,1,0.923441,9.65E-02,-5.6123,CCDC88B,coiled-coil domain containing 88B,,,,
TC17002888.hg.1,1,0.923481,9.64E-02,-5.6123,CDRT1,CMT1A duplicated region transcript 1,,,,
TC03002070.hg.1,1,0.9236,-9.63E-02,-5.6123,THPO,thrombopoietin,,,,
TC21000450.hg.1,1,0.923608,9.62E-02,-5.6123,ERG,v-ets erythroblastosis virus E26 oncogene homolog (avian),,,,
TC01003543.hg.1,1,0.923615,-9.62E-02,-5.6123,MRPS14,mitochondrial ribosomal protein S14,,,,
TC0X000329.hg.1,1,0.923666,9.62E-02,-5.6124,PAGE5,P antigen family, member 5 (prostate associated),,,
TC17001118.hg.1,1,0.9237,9.61E-02,-5.6124,MYH10,myosin, heavy chain 10, non-muscle,,
TC20000235.hg.1,1,0.923735,9.61E-02,-5.6124,CHMP4B,charged multivesicular body protein 4B,,,,
TC07000571.hg.1,1,0.923746,9.61E-02,-5.6124,DYNC1I1,dynein, cytoplasmic 1, intermediate chain 1,,
TC01001194.hg.1,1,0.92385,-9.59E-02,-5.6124,SETDB1,SET domain, bifurcated 1,,,
TC01006279.hg.1,1,0.923865,9.59E-02,-5.6124,TNNT2,troponin T type 2 (cardiac),,,,
TC16000949.hg.1,1,0.923877,-9.59E-02,-5.6124,RRN3P3,RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 3,,,,
TC19001693.hg.1,1,0.92389,9.59E-02,-5.6124,RASIP1,Ras interacting protein 1,,,,
TC11002040.hg.1,1,0.923898,9.59E-02,-5.6124,KRTAP5-11,keratin associated protein 5-11,,,,
TC01002075.hg.1,1,0.923909,9.59E-02,-5.6124,FAM41C,family with sequence similarity 41, member C,,,
TC01003055.hg.1,1,0.924027,9.57E-02,-5.6124,LOC100132913,uncharacterized LOC100132913,,,,
TC01003024.hg.1,1,0.924035,9.57E-02,-5.6124,ATP1A1OS,ATP1A1 opposite strand,,,,
TC22000157.hg.1,1,0.924062,-9.57E-02,-5.6124,TOP1P2,topoisomerase (DNA) I pseudogene 2,,,,
TC07000409.hg.1,1,0.924101,-9.56E-02,-5.6124,LOC100289098,uncharacterized LOC100289098,,,,
TC08000307.hg.1,1,0.924181,-9.55E-02,-5.6124,IDO2,indoleamine 2,3-dioxygenase 2,,,
TC02001386.hg.1,1,0.92419,-9.55E-02,-5.6124,PSMD1,proteasome (prosome, macropain) 26S subunit, non-ATPase,1,
TC02002206.hg.1,1,0.924194,9.55E-02,-5.6124,FLJ44006,uncharacterized FLJ44006,,,,
TC0X000665.hg.1,1,0.924231,9.55E-02,-5.6124,LOC100128420,uncharacterized LOC100128420,,,,
TC09000539.hg.1,1,0.924277,9.54E-02,-5.6124,TMEM38B,transmembrane protein 38B,,,,
TC01002205.hg.1,1,0.924303,-9.54E-02,-5.6124,NPPB,natriuretic peptide B,,,,
TC10000804.hg.1,1,0.924393,9.52E-02,-5.6124,RBM20,RNA binding motif protein 20,,,,
TC05002167.hg.1,1,0.924429,9.52E-02,-5.6124,MIR4638,microRNA 4638,,,,
TC14001429.hg.1,1,0.924449,-9.52E-02,-5.6124,C14orf102,chromosome 14 open reading frame 102,,,,
TC14001465.hg.1,1,0.924462,-9.52E-02,-5.6124,SERPINA6,serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6,
TC08000069.hg.1,1,0.924464,9.52E-02,-5.6124,TNKS,tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase,,,
TC02000587.hg.1,1,0.924536,-9.51E-02,-5.6124,CNNM3,cyclin M3,,,,
TC6_dbb_hap3000165.hg.1,1,0.924541,9.51E-02,-5.6124,SLC44A4,solute carrier family 44, member 4,,,
TC14000780.hg.1,1,0.924544,-9.51E-02,-5.6124,ZNF839,zinc finger protein 839,,,,
TC22000648.hg.1,1,0.924552,-9.51E-02,-5.6124,OSM,oncostatin M,,,,
TC22000675.hg.1,1,0.924557,9.50E-02,-5.6124,C22orf42,chromosome 22 open reading frame 42,,,,
TC16000332.hg.1,1,0.92456,-9.50E-02,-5.6124,ASPHD1,aspartate beta-hydroxylase domain containing 1,,,,
TC02000663.hg.1,1,0.924561,-9.50E-02,-5.6124,SULT1C2,sulfotransferase family, cytosolic, 1C, member 2,
TC16000984.hg.1,1,0.924571,9.50E-02,-5.6124,LOC100506705,uncharacterized LOC100506705,,,,
TC13000103.hg.1,1,0.924601,9.50E-02,-5.6125,C13orf33,chromosome 13 open reading frame 33,,,,
TC14002311.hg.1,1,0.924606,9.50E-02,-5.6125,BDKRB1,bradykinin receptor B1,,,,
TC12001787.hg.1,1,0.924614,9.50E-02,-5.6125,MGAT4C,mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme C (putative),
TC17001503.hg.1,1,0.924615,9.50E-02,-5.6125,KRT37,keratin 37,,,,
TC01003601.hg.1,1,0.924641,-9.49E-02,-5.6125,ZNF648,zinc finger protein 648,,,,
TC0X000736.hg.1,1,0.92465,-9.49E-02,-5.6125,MAGEA4,melanoma antigen family A,4,,,
TC06000808.hg.1,1,0.924673,9.49E-02,-5.6125,MIR4643,microRNA 4643,,,,
TC08000300.hg.1,1,0.924673,9.49E-02,-5.6125,ADAM5P,ADAM metallopeptidase domain 5, pseudogene,,,
TC19002611.hg.1,1,0.92484,9.47E-02,-5.6125,CD22,CD22 molecule,,,,
TC17001126.hg.1,1,0.924881,9.46E-02,-5.6125,DHRS7C,dehydrogenase/reductase (SDR family) member 7C,,,,
TC02002027.hg.1,1,0.924888,9.46E-02,-5.6125,LOC100507201,uncharacterized LOC100507201,,,,
TC05000732.hg.1,1,0.92489,-9.46E-02,-5.6125,HARS2,histidyl-tRNA synthetase 2, mitochondrial (putative),,,
TC09001767.hg.1,1,0.924921,9.46E-02,-5.6125,FAM166A,family with sequence similarity 166, member A,,,
TC05000451.hg.1,1,0.924939,9.46E-02,-5.6125,NR2F1,nuclear receptor subfamily 2, group F, member 1,,
TC09002899.hg.1,1,0.924988,-9.45E-02,-5.6125,FAM95B1,family with sequence similarity 95, member B1,,,
TC15000320.hg.1,1,0.924992,-9.45E-02,-5.6125,SNAP23,synaptosomal-associated protein, 23kDa,,,
TC07000659.hg.1,1,0.925021,-9.45E-02,-5.6125,ORAI2,ORAI calcium release-activated calcium modulator 2,,,,
TC19000870.hg.1,1,0.925036,9.44E-02,-5.6125,CACNG6,calcium channel, voltage-dependent, gamma subunit 6,,
TC15001202.hg.1,1,0.925039,9.44E-02,-5.6125,AQR,aquarius homolog (mouse),,,,
TC01000069.hg.1,1,0.925073,-9.44E-02,-5.6125,ARHGEF16,Rho guanine nucleotide exchange factor (GEF) 16,,,,
TC02000300.hg.1,1,0.925182,9.43E-02,-5.6125,LOC100506235,uncharacterized LOC100506235,,,,
TC05001331.hg.1,1,0.925188,9.42E-02,-5.6125,EMB,embigin,,,,
TC02000083.hg.1,1,0.9252,-9.42E-02,-5.6125,MIR3125,microRNA 3125,,,,
TC19001663.hg.1,1,0.925212,-9.42E-02,-5.6125,MEIS3,Meis homeobox 3,,,,
TC20000270.hg.1,1,0.925265,-9.41E-02,-5.6125,C20orf118,chromosome 20 open reading frame 118,,,,
TC16000889.hg.1,1,0.92527,9.41E-02,-5.6125,LOC728138,KIAA2013 pseudogene,,,,
TC22000632.hg.1,1,0.92535,9.40E-02,-5.6125,RHBDD3,rhomboid domain containing 3,,,,
TC15001842.hg.1,1,0.925353,9.40E-02,-5.6125,CIB1,calcium and integrin binding 1 (calmyrin),,,,
TC08001652.hg.1,1,0.92538,-9.40E-02,-5.6125,KCNQ3,potassium voltage-gated channel, KQT-like subfamily, member 3,,
TC02002898.hg.1,1,0.925402,9.40E-02,-5.6125,ASB18,ankyrin repeat and SOCS box containing 18,,,,
TC16000863.hg.1,1,0.925458,-9.39E-02,-5.6125,TNP2,transition protein 2 (during histone to protamine replacement),,,,
TC02001789.hg.1,1,0.9255,-9.39E-02,-5.6125,THADA,thyroid adenoma associated,,,,
TC11001528.hg.1,1,0.925573,-9.38E-02,-5.6126,PAX6,paired box 6,,,,
TC02000941.hg.1,1,0.925591,9.37E-02,-5.6126,FMNL2,formin-like 2,,,,
TC18000073.hg.1,1,0.925788,9.35E-02,-5.6126,MIR4526,microRNA 4526,,,,
TC15000684.hg.1,1,0.925828,9.34E-02,-5.6126,CYP1A2,cytochrome P450, family 1, subfamily A, polypeptide 2,
TC06002154.hg.1,1,0.925847,9.34E-02,-5.6126,LOC100507406,uncharacterized LOC100507406,,,,
TC03001583.hg.1,1,0.925849,-9.34E-02,-5.6126,VGLL3,vestigial like 3 (Drosophila),,,,
TC02000665.hg.1,1,0.92588,-9.34E-02,-5.6126,SULT1C4,sulfotransferase family, cytosolic, 1C, member 4,
TC14000966.hg.1,1,0.92589,-9.34E-02,-5.6126,NRL,neural retina leucine zipper,,,,
TC6_dbb_hap3000189.hg.1,1,0.925926,-9.33E-02,-5.6126,COL11A2,collagen, type XI, alpha 2,,
TC06002166.hg.1,1,0.925927,-9.33E-02,-5.6126,TXLNB,taxilin beta,,,,
TC17001043.hg.1,1,0.925927,-9.33E-02,-5.6126,ZNF232,zinc finger protein 232,,,,
TC01001198.hg.1,1,0.925955,9.33E-02,-5.6126,PRUNE,prune homolog (Drosophila),,,,
TC02001549.hg.1,1,0.926013,9.32E-02,-5.6126,LOC339788,uncharacterized LOC339788,,,,
TC20000246.hg.1,1,0.926026,9.32E-02,-5.6126,MYH7B,myosin, heavy chain 7B, cardiac muscle, beta,
TC12000138.hg.1,1,0.926086,9.31E-02,-5.6126,KLRG1,killer cell lectin-like receptor subfamily G, member 1,,,
TC09000823.hg.1,1,0.926112,9.31E-02,-5.6126,MIR4292,microRNA 4292,,,,
TC01000242.hg.1,1,0.926137,-9.30E-02,-5.6126,KLHDC7A,kelch domain containing 7A,,,,
TC09001184.hg.1,1,0.926166,-9.30E-02,-5.6126,LOC572558,uncharacterized LOC572558,,,,
TC14000744.hg.1,1,0.926229,9.29E-02,-5.6126,MIR539,microRNA 539,,,,
TC07000280.hg.1,1,0.926242,9.29E-02,-5.6126,CCM2,cerebral cavernous malformation 2,,,,
TC05000568.hg.1,1,0.926284,-9.29E-02,-5.6126,FAM170A,family with sequence similarity 170, member A,,,
TC17001353.hg.1,1,0.926309,9.28E-02,-5.6126,MYO1D,myosin ID,,,,
TC10001472.hg.1,1,0.926334,-9.28E-02,-5.6126,LRIT1,leucine-rich repeat, immunoglobulin-like and transmembrane domains 1,,,
TC08001656.hg.1,1,0.926365,9.28E-02,-5.6126,TMEM71,transmembrane protein 71,,,,
TC09000725.hg.1,1,0.926399,-9.27E-02,-5.6126,USP20,ubiquitin specific peptidase 20,,,,
TC13000602.hg.1,1,0.9264,-9.27E-02,-5.6126,MTRF1,mitochondrial translational release factor 1,,,,
TC02001303.hg.1,1,0.926403,-9.27E-02,-5.6126,VIL1,villin 1,,,,
TC11000401.hg.1,1,0.926478,9.26E-02,-5.6126,F2,coagulation factor II (thrombin),,,,
TC08000965.hg.1,1,0.926504,-9.26E-02,-5.6126,MIR598,microRNA 598,,,,
TC12002073.hg.1,1,0.926507,-9.26E-02,-5.6127,CLIP1,CAP-GLY domain containing linker protein 1,,,,
TC02002518.hg.1,1,0.926551,9.25E-02,-5.6127,LOC440925,uncharacterized LOC440925,,,,
TC14002312.hg.1,1,0.926559,9.25E-02,-5.6127,KLC1,kinesin light chain 1,,,,
TC10001752.hg.1,1,0.926623,-9.24E-02,-5.6127,FAM196A,family with sequence similarity 196, member A,,,
TC13000825.hg.1,1,0.926631,-9.24E-02,-5.6127,DOCK9,dedicator of cytokinesis 9,,,,
TC21000400.hg.1,1,0.926677,-9.24E-02,-5.6127,SYNJ1,synaptojanin 1,,,,
TC19001541.hg.1,1,0.926732,-9.23E-02,-5.6127,SERTAD3,SERTA domain containing 3,,,,
TC18000468.hg.1,1,0.926784,9.22E-02,-5.6127,KC6,keratoconus gene 6,,,,
TC11001331.hg.1,1,0.926817,9.22E-02,-5.6127,HBD,hemoglobin, delta,,,
TC16000540.hg.1,1,0.92685,-9.21E-02,-5.6127,HSD11B2,hydroxysteroid (11-beta) dehydrogenase 2,,,,
TC21000303.hg.1,1,0.926879,9.21E-02,-5.6127,CHODL-AS1,CHODL antisense RNA 1 (non-protein coding),,,,
TC02000286.hg.1,1,0.926921,9.21E-02,-5.6127,SOCS5,suppressor of cytokine signaling 5,,,,
TC03000990.hg.1,1,0.926956,-9.20E-02,-5.6127,HTR3C,5-hydroxytryptamine (serotonin) receptor 3, family member C,,,
TC05000281.hg.1,1,0.927054,-9.19E-02,-5.6127,SREK1,splicing regulatory glutamine/lysine-rich protein 1,,,,
TC0X000118.hg.1,1,0.927055,-9.19E-02,-5.6127,PDK3,pyruvate dehydrogenase kinase, isozyme 3,,,
